Source MAC,Destination MAC,Protocol,Source IP,Destination IP,Source Port,Destination Port,TCP Flags,Timestamp,Packet Length
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,PA,1731599381.968871,154
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,A,1731599381.9702547,54
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,52.182.143.211,10.0.2.15,443,57570,PA,1731599382.7889245,1514
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,52.182.143.211,57570,443,A,1731599382.8286211,54
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,PA,1731599382.9922738,174
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,PA,1731599382.9932597,7354
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599382.9938302,60
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,PA,1731599382.9944935,5894
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,PA,1731599382.9958687,1523
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599382.9972186,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599382.9979775,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599382.998619,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599382.9993162,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599383.00002,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599383.000504,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599383.001133,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599383.0016105,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599383.0020247,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599383.0024738,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599383.0029292,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,52.182.143.211,10.0.2.15,443,57570,PA,1731599383.7101421,1514
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,52.182.143.211,57570,443,A,1731599383.71126,54
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,PA,1731599383.9140286,154
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,A,1731599383.9183784,54
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,PA,1731599383.919146,89
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599383.9277437,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,52.182.143.211,10.0.2.15,443,57570,PA,1731599383.9708524,1666
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,52.182.143.211,57570,443,A,1731599383.9752865,54
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,52.182.143.211,57570,443,PA,1731599383.9767637,1778
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,52.182.143.211,10.0.2.15,443,57570,A,1731599383.9775083,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,52.182.143.211,10.0.2.15,443,57570,A,1731599383.9782035,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,52.182.143.211,10.0.2.15,443,57570,PA,1731599384.2494092,157
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,52.182.143.211,10.0.2.15,443,57570,PA,1731599384.2687144,519
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,52.182.143.211,10.0.2.15,443,57570,FA,1731599384.26974,60
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,52.182.143.211,57570,443,A,1731599384.2705705,54
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,52.182.143.211,57570,443,PA,1731599384.27227,78
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,52.182.143.211,10.0.2.15,443,57570,A,1731599384.2731698,60
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,52.182.143.211,57570,443,FA,1731599384.2738714,54
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,52.182.143.211,10.0.2.15,443,57570,A,1731599384.2746186,60
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,PA,1731599385.1494577,168
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,PA,1731599385.153461,7354
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,PA,1731599385.1547985,1116
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599385.1566577,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599385.1581986,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599385.1588967,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599385.1602554,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599385.1610844,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599385.1621134,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599385.163889,60
